ts,tmpc
1963-08-26,21.344642857142862
1963-09-02,18.841071428571436
1963-09-09,18.297619047619055
1963-09-16,16.811309523809516
1963-09-23,17.939880952380946
1963-09-30,16.022023809523812
1963-10-07,18.318452380952394
1963-10-14,15.236309523809531
1963-10-21,17.229166666666657
1963-10-28,16.094047619047632
1963-11-04,6.146428571428574
1963-11-11,8.073809523809528
1963-11-18,5.1452380952380965
1963-11-25,4.1065476190476184
1963-12-02,-0.09821428571428531
1963-12-09,-1.7374999999999976
1963-12-16,-15.012499999999994
1963-12-23,-22.097023809523805
1963-12-30,-9.595833333333337
1964-01-06,-2.5464285714285735
1964-01-13,-9.605357142857141
1964-01-20,-3.6470238095238066
1964-01-27,-2.4696428571428575
1964-02-03,-2.646428571428572
1964-02-10,-3.5952380952380967
